timestamp_utc,bucket_12s,wavelength,filepath,filesize_bytes,hash_md5,exptime,naxis1,naxis2
2017-09-06T12:02:34.530,12_02_24,131,raw\aia.lev1.131A_2017_09_06T12_02_34.53Z.image_lev1.fits,6894720,89fe7d955d3ad85681d7a38b0a1d83b3,0.004867,4096,4096
2017-09-06T12:02:36.620,12_02_36,335,raw\aia.lev1.335A_2017_09_06T12_02_36.62Z.image_lev1.fits,7214400,cbe00e69e7b0116ac849692957383227,2.900156,4096,4096
2017-09-06T12:02:37.420,12_02_36,211,raw\aia.lev1.211A_2017_09_06T12_02_37.42Z.image_lev1.fits,7384320,0d735f701fc5a69a9e7d7c8c176165d1,0.122984,4096,4096
2017-09-06T12:02:38.810,12_02_36,94,raw\aia.lev1.94A_2017_09_06T12_02_38.81Z.image_lev1.fits,6396480,019f391ac4a1bd947125c53f6fd696b3,0.206857,4096,4096
2017-09-06T12:02:40.840,12_02_36,193,raw\aia.lev1.193A_2017_09_06T12_02_40.84Z.image_lev1.fits,11661120,a159b3a79068f816f9786bd9953579a6,2.000039,4096,4096
2017-09-06T12:02:42.620,12_02_36,131,raw\aia.lev1.131A_2017_09_06T12_02_42.62Z.image_lev1.fits,8890560,aff4983039a733fc48ee16c592c86413,2.900792,4096,4096
2017-09-06T12:02:45.350,12_02_36,171,raw\aia.lev1.171A_2017_09_06T12_02_45.35Z.image_lev1.fits,11666880,8a4a80d2c8cc04f4c30021f7565ca8bd,2.000158,4096,4096
2017-09-06T12:02:51.220,12_02_48,335,raw\aia.lev1.335A_2017_09_06T12_02_51.22Z.image_lev1.fits,7015680,fdae964fd46a1654e9a07154f14e853b,1.000798,4096,4096
2017-09-06T12:02:55.230,12_02_48,193,raw\aia.lev1.193A_2017_09_06T12_02_55.23Z.image_lev1.fits,7185600,c81ae0a2db209ef3effe20cbf6caec49,0.014682,4096,4096
2017-09-06T12:02:57.350,12_02_48,171,raw\aia.lev1.171A_2017_09_06T12_02_57.35Z.image_lev1.fits,11669760,3514e1429ab10243da446eeae0bd3552,2.000171,4096,4096
2017-09-06T12:02:58.380,12_02_48,131,raw\aia.lev1.131A_2017_09_06T12_02_58.38Z.image_lev1.fits,6903360,1f00ab540cdba68e6eed8f5a9eeded07,0.009736,4096,4096
2017-09-06T12:03:00.630,12_03_00,335,raw\aia.lev1.335A_2017_09_06T12_03_00.63Z.image_lev1.fits,7217280,91d3c3388260493ed15be258eb2365df,2.899757,4096,4096
2017-09-06T12:03:01.400,12_03_00,211,raw\aia.lev1.211A_2017_09_06T12_03_01.40Z.image_lev1.fits,7464960,5356df4f4cb7cd15e95e9309b0c266f1,0.147056,4096,4096
2017-09-06T12:03:02.770,12_03_00,94,raw\aia.lev1.94A_2017_09_06T12_03_02.77Z.image_lev1.fits,6413760,fd25fde5ae41346c0c3f15c6249c585d,0.247828,4096,4096
2017-09-06T12:03:04.840,12_03_00,193,raw\aia.lev1.193A_2017_09_06T12_03_04.84Z.image_lev1.fits,11666880,b6bbcc099ef3c6f0396ed8b5a365c90b,2.000034,4096,4096
2017-09-06T12:03:06.620,12_03_00,131,raw\aia.lev1.131A_2017_09_06T12_03_06.62Z.image_lev1.fits,8919360,be8df2177b838e4b811a202df556a6f5,2.90137,4096,4096
2017-09-06T12:03:09.350,12_03_00,171,raw\aia.lev1.171A_2017_09_06T12_03_09.35Z.image_lev1.fits,11666880,36b3173b9432ac2f5cbb1f8ab21eb787,2.000157,4096,4096
2017-09-06T12:03:14.930,12_03_12,335,raw\aia.lev1.335A_2017_09_06T12_03_14.93Z.image_lev1.fits,7044480,87fb6e648d832097daf03199c1918d8a,1.20095,4096,4096
2017-09-06T12:03:19.070,12_03_12,193,raw\aia.lev1.193A_2017_09_06T12_03_19.07Z.image_lev1.fits,7266240,48e5bfaba22723447bdf7588bdd45283,0.019553,4096,4096
2017-09-06T12:03:21.340,12_03_12,171,raw\aia.lev1.171A_2017_09_06T12_03_21.34Z.image_lev1.fits,11672640,23f072f047c5ff279f9b753b908c7d07,2.000172,4096,4096
2017-09-06T12:03:22.370,12_03_12,131,raw\aia.lev1.131A_2017_09_06T12_03_22.37Z.image_lev1.fits,6906240,db0279d53abc26b8819de0368aba12ab,0.009738,4096,4096
2017-09-06T12:03:24.620,12_03_24,335,raw\aia.lev1.335A_2017_09_06T12_03_24.62Z.image_lev1.fits,7220160,3de2123d8440729a0f44d4a67c0ca147,2.900152,4096,4096
2017-09-06T12:03:24.770,12_03_24,211,raw\aia.lev1.211A_2017_09_06T12_03_24.77Z.image_lev1.fits,7004160,eef045d9fefe45d20f62608c36de49cf,0.029328,4096,4096
2017-09-06T12:03:26.690,12_03_24,94,raw\aia.lev1.94A_2017_09_06T12_03_26.69Z.image_lev1.fits,6436800,c35d073347619321e5e219ee535da241,0.296982,4096,4096
2017-09-06T12:03:28.840,12_03_24,193,raw\aia.lev1.193A_2017_09_06T12_03_28.84Z.image_lev1.fits,11664000,f488887f8b5a69a98d39d2449a63bff8,1.999045,4096,4096
