ts,cpu_total_pct,mem_used_bytes,mem_total_bytes,proc_rss_bytes,disk_read_bytes,disk_write_bytes,net_bytes_sent,net_bytes_recv
1760284577.2884643,1.6,17290326016,270310711296,11262197760,57162924032,6976822883328,8508096836442,1017790291509
1760284577.7912962,1.6,17296097280,270310711296,11262197760,57162924032,6976822883328,8508096836941,1017790292120
1760284578.294121,1.7,17319837696,270310711296,11262197760,57162924032,6976822883328,8508096837153,1017790292252
1760284578.7969837,1.6,17319108608,270310711296,11262197760,57162924032,6976822883328,8508096837153,1017790292252
1760284579.299855,1.7,17322012672,270310711296,11262197760,57162924032,6976822883328,8508096837512,1017790292631
1760284579.8026822,1.6,17318121472,270310711296,11262197760,57162924032,6976822883328,8508096837970,1017790293102
1760284580.3054879,1.6,17310470144,270310711296,11262197760,57162924032,6976822883328,8508096837970,1017790293241
1760284580.8083336,1.6,17307557888,270310711296,11262197760,57162924032,6976822883328,8508096838068,1017790293663
1760284581.3112402,1.6,17307758592,270310711296,11262197760,57162924032,6976822883328,8508096838427,1017790294107
1760284581.8145185,1.6,17301913600,270310711296,11262197760,57162924032,6976822883328,8508096839239,1017790295310
1760284582.31734,1.6,17293520896,270310711296,11262197760,57162924032,6976822883328,8508096839730,1017790295691
1760284582.820197,1.6,17288241152,270310711296,11262197760,57162924032,6976822883328,8508096840442,1017790296794
1760284583.3230636,1.6,17307340800,270310711296,11238862848,57162924032,6976822883328,8508096841207,1017790297591
1760284583.8259327,1.6,17303289856,270310711296,11246202880,57162924032,6976822883328,8508096841207,1017790297591
1760284584.3287275,1.6,17286365184,270310711296,11238338560,57162924032,6976822883328,8508096841566,1017790297965
1760284584.831549,1.6,17281667072,270310711296,11245678592,57162924032,6976822883328,8508096841566,1017790298285
1760284585.3344085,1.6,17282723840,270310711296,11237814272,57162924032,6976822883328,8508096842070,1017790298855
1760284585.8372352,1.6,17273638912,270310711296,11245154304,57162924032,6976822883328,8508096842715,1017790299654
1760284586.3400667,1.6,17267425280,270310711296,11237289984,57162924032,6976822883328,8508096843557,1017790300575
1760284586.8429134,1.6,17265369088,270310711296,11244630016,57162924032,6976822883328,8508096844276,1017790301445
1760284587.3457649,1.6,17268211712,270310711296,11237289984,57162924032,6976822883328,8508096845605,1017790303071
1760284587.8485818,1.6,17268211712,270310711296,11244105728,57162924032,6976822883328,8508096845968,1017790303720
1760284588.3514016,1.8,17269862400,270310711296,11236765696,57162924032,6976822883328,8508096846804,1017790304972
1760284588.8542411,1.6,17267077120,270310711296,11244105728,57162924032,6976822883328,8508096847528,1017790305980
1760284589.3570902,1.6,17269870592,270310711296,11236241408,57162924032,6976822883328,8508096847958,1017790306892
1760284589.8599186,1.6,17269612544,270310711296,11243581440,57162924032,6976822883328,8508096847958,1017790306892
1760284590.3627062,1.6,17263857664,270310711296,11235717120,57162924032,6976822883328,8508096848803,1017790307973
1760284590.8656147,1.6,17263407104,270310711296,11243057152,57162924032,6976822883328,8508096848803,1017790308065
1760284591.3684602,1.6,17263947776,270310711296,11235717120,57162924032,6976822883328,8508096850156,1017790309397
1760284591.8713124,1.6,17260974080,270310711296,11243057152,57162924032,6976822883328,8508096850156,1017790309489
1760284592.374133,1.6,17268760576,270310711296,11235717120,57162924032,6976822883328,8508096851851,1017790311274
1760284592.8769639,1.6,17268350976,270310711296,11242532864,57162924032,6976822883328,8508096851851,1017790311274
1760284593.379768,1.6,17268989952,270310711296,11235717120,57162924032,6976822883328,8508096853054,1017790313063
1760284593.8827457,1.6,17268989952,270310711296,11242532864,57162924032,6976822883328,8508096853054,1017790313063
1760284594.3855374,1.6,17258790912,270310711296,11235745792,57162924032,6976822883328,8508096853981,1017790314569
1760284594.8883855,1.6,17258315776,270310711296,11242037248,57162924032,6976822883328,8508096854598,1017790315160
1760284595.3912454,1.6,17260118016,270310711296,11235766272,57162924032,6976822883328,8508096855443,1017790316092
1760284595.8941216,1.5,17259622400,270310711296,11242057728,57162924032,6976822883328,8508096855443,1017790316416
1760284596.3969195,1.6,17261637632,270310711296,11235790848,57162924032,6976822883328,8508096856286,1017790317352
1760284596.8997202,1.6,17260638208,270310711296,11241558016,57162924032,6976822883328,8508096856644,1017790317716
1760284597.4139946,1.6,17264865280,270310711296,11235815424,57162924032,6976822883328,8508096857548,1017790318536
1760284597.9168663,1.6,17265041408,270310711296,11241582592,57162924032,6976822883328,8508096857900,1017790318903
1760284598.4284205,1.6,17260744704,270310711296,11235831808,57162924032,6976822883328,8508096858314,1017790319336
1760284598.931256,1.6,17260744704,270310711296,11241598976,57162924032,6976822883328,8508096858314,1017790319336
1760284599.4395316,1.6,17252323328,270310711296,11235868672,57162924032,6976822883328,8508096858727,1017790319774
1760284599.9423785,1.6,17252839424,270310711296,11241635840,57162924032,6976822883328,8508096858727,1017790320098
1760284600.4475522,1.6,17254498304,270310711296,11235880960,57162924032,6976822883328,8508096860754,1017790322052
1760284600.9504066,2.1,17268011008,270310711296,11241648128,57162924032,6976822883328,8508136465368,1017790535004
1760284601.4576516,1.6,17266049024,270310711296,11235934208,57162924032,6976822883328,8508136466144,1017790535809
1760284601.960497,1.6,17265610752,270310711296,11242225664,57162924032,6976822883328,8508136466144,1017790536133
1760284602.4632907,1.6,17274482688,270310711296,11235946496,57162924032,6976822883328,8508136467048,1017790537089
1760284602.9661307,1.6,17274322944,270310711296,11242237952,57162924032,6976822883328,8508136467048,1017790537089
1760284603.4689565,1.6,17270923264,270310711296,11235975168,57162924032,6976822883328,8508136467870,1017790537991
1760284603.9718082,1.6,17270730752,270310711296,11242266624,57162924032,6976822883328,8508136467870,1017790537991
1760284604.4746015,1.6,17270243328,270310711296,11235975168,57162924032,6976822883328,8508136468780,1017790539154
1760284604.9774394,1.6,17270054912,270310711296,11242266624,57162924032,6976822883328,8508136468780,1017790539154
1760284605.480295,1.6,17267482624,270310711296,11235962880,57162924032,6976822883328,8508136469373,1017790539587
1760284605.9831781,3.1,17270972416,270310711296,11242254336,57162924032,6976822883328,8508225242645,1017791010137
1760284606.496543,5.3,17276010496,270310711296,11263750144,57162924032,6976822883328,8508557140038,1017792806786
1760284606.9993718,1.7,17297940480,270310711296,11241660416,57162924032,6976822883328,8508557140457,1017792807291
1760284607.5019364,1.6,17298956288,270310711296,11263680512,57162924032,6976822883328,8508557141777,1017792808891
1760284608.0047944,1.7,17318047744,270310711296,11241631744,57162924032,6976822883328,8508557141917,1017792809125
1760284608.5076141,1.8,17325244416,270310711296,11263651840,57162924032,6976822883328,8508557142992,1017792810414
1760284609.0104187,1.6,17321115648,270310711296,11241627648,57162924032,6976822883328,8508557142992,1017792810414
1760284609.5132482,1.8,17351798784,270310711296,11263647744,57162924032,6976822883328,8508557143765,1017792811246
1760284610.0348918,1.6,17350508544,270310711296,11241619456,57162924032,6976822883328,8508557143765,1017792811385
1760284610.538509,1.6,17352597504,270310711296,11235852288,57162924032,6976822883328,8508557143765,1017792811385
1760284611.0413525,1.7,17362386944,270310711296,11242143744,57162924032,6976822883328,8508557144121,1017792811816
1760284611.544235,1.6,17361612800,270310711296,11235864576,57162924032,6976822883328,8508557144685,1017792812269
1760284612.0470889,1.7,17361244160,270310711296,11241631744,57162924032,6976822883328,8508557145532,1017792813016
1760284612.550702,1.6,17353789440,270310711296,11235856384,57162924032,6976822883328,8508557146037,1017792813774
1760284613.053488,1.6,17360101376,270310711296,11241623552,57162924032,6976822883328,8508557146177,1017792814008
1760284613.560256,1.7,17358557184,270310711296,11235852288,57162924032,6976822883328,8508557147163,1017792815265
1760284614.0631268,1.6,17356005376,270310711296,11241619456,57162924032,6976822883328,8508557147578,1017792815700
1760284614.5709655,1.7,17375232000,270310711296,11235844096,57162924032,6976822883328,8508557147932,1017792816649
1760284615.0738156,1.6,17367343104,270310711296,11241611264,57162924032,6976822883328,8508557147932,1017792816709
1760284615.5797727,1.7,17369509888,270310711296,11235852288,57162924032,6976822883328,8508557148284,1017792817074
1760284616.0826364,1.6,17362804736,270310711296,11242143744,57162924032,6976822883328,8508557148696,1017792817558
1760284616.5854435,1.6,17372254208,270310711296,11236196352,57162924032,6976822883328,8508557148836,1017792817791
1760284617.0882847,1.7,17378951168,270310711296,11242487808,57162924032,6976822883328,8508557149945,1017792818791
1760284617.5911446,1.6,17381707776,270310711296,11236225024,57162924032,6976822883328,8508557150035,1017792819069
1760284618.0940008,1.7,17376632832,270310711296,11242516480,57162924032,6976822883328,8508557150804,1017792819864
1760284618.5968478,1.6,17365770240,270310711296,11236233216,57162924032,6976822883328,8508557150804,1017792819864
1760284619.099701,1.7,17372299264,270310711296,11243048960,57162924032,6976822883328,8508557151991,1017792821557
1760284619.6025178,1.6,17378205696,270310711296,11236241408,57162924032,6976822883328,8508557151991,1017792821557
1760284620.105418,1.8,17370607616,270310711296,11243057152,57162924032,6976822883328,8508557153177,1017792823112
1760284620.6087513,1.7,17383428096,270310711296,11236229120,57162924032,6976822883328,8508557153530,1017792823474
1760284621.1116924,1.6,17379332096,270310711296,11243569152,57162924032,6976822883328,8508557154364,1017792824660
1760284621.6145177,1.7,17379426304,270310711296,11236229120,57162924032,6976822883328,8508557154717,1017792825022
1760284622.1174016,1.6,17377079296,270310711296,11244093440,57162924032,6976822883328,8508557155208,1017792825403
